content,poster,follower,post_time,title
            像我们这种病友应该很多人都曾经因为膝盖出血次数过多，没有条件用因子止血。或者觉得问题不大。所以没太重视膝盖出血。但我在此要作为一个过来人要特别强调！只要膝盖一出血，不管出血量大不大，有因子的一定要第一时间止血。如果不重视的话，最后只会有一个结果！膝盖里出现积液！从而形成滑膜炎！,上海天津找蓝翔,56,,关于滑膜炎的一些治疗方法。
            有做过的吗？ 输了多少药,大格孑9,12,,血友病可以做包皮手术吗
            这消息出来两天了，看吧里那么平静可能多数人不知道，我发这里吧，让大家都知道知道,前度刘郎现再来,26,,进展： 百度血友病吧官司:原告撤诉 被告称未接受调解
            我家那位天天的不主动积极的想着干点啥，靠我这点钱够生活费都不错了，，不能老指着他爸妈吧，他们会老会病，我和儿子（儿子五岁），真不想和他过了，一说他就说有这病三天打鱼两天晒网，那你不给别人工作自己干点啥总行吧，根本就不想，不找。就知道玩游戏，真想儿子大点带着儿子走，他不配有孩子老婆，我们离喝西北风不远了。,天蝎艾浪漫,64,,血友病男你们都挣钱吗？干什么工作？
            俩个多月了，每次快要恢复好了，恢复期中半个月就又出一次血，以前重没这样过，不知道怎么回事,a1156647396,39,,会被这个脚踝给磨死
            注册了有物用！！？？,vkomm,2,,注册了
            我是血友病甲，现暂住南京，屁股肿了一个月了在家静养老是反反复复，想请问下有没有对南京比较熟悉的病友，南京除了鼓楼医院那个血液科周医生还有比较靠谱的可以看的地方嘛，感觉南京这地方看血友病好麻烦，医院一直没有床位，离鼓楼远来回跑又吃不消，附近诊所又怕担风险不肯注射。这次真感觉有必要学会自己注射又不知道有没有比较靠谱的教学的地方，请知道的病友及时告知，感激不尽。祝各位病友都能挺过困难迎来光明！,天涯孤心逍遥,5,,南京病友想请教一些问题
            ,henlf,19,,😂有货的日子真好，泪流满面
            ,ldhvhj,23,,血友一枚，喜欢双节棍
            小儿出生13天就检查出患有血友病，VIII只有0.1。这两天几个医院的跑药，今天早上总算把药送到小儿住院的医院。但让我不解的是拿药医院药品明细清单上写的每日一次250.000IU，就是每天一瓶，可小儿住院这边的医生说的是现在每天打两瓶，这个打多了会不会有副作用？然后就是接下来的农合报销的问题，在其它医院拿的药这个怎么报销呢？报销先从哪里找起？哪位知道的前辈请帮忙说说！,褪色69,56,,出生13天确诊为血友甲
            盆友们。大家好。由于刚刚大专毕业，做了几个月销售工资2300 左右  上一天班，天天腿痛的不得了。就辞职了。现在在一家网咖当网管 基本不怎么忙，都是夜班，1点上班到早上9点 几乎都是坐哪儿耍，顾客有需要就去送饮料加网费。工资2000 做了两个月，感觉太荒废了。天天夜班。吃不消。现在想进富士康看看。听说大专进去就是什么师1。我不懂。想听听朋友们的介绍。特别是去过富士康的朋友们。大专面试什么职位，怎么面试。本人膝盖和脚踝有问题，走多了晚上痛的睡不着。但是第二天就好了。请朋友们帮我分析哈富士康怎么样。谢谢,阔爱小橙子冫,7,,亲爱的盆友们，问问有关富士康的问题。
            我是血友病甲  我想问下 我打算找医生问下和做关节镜治疗 请问大家济南千佛山医晥骨科主任张明的技术怎么样？给我们血友们做关节镜技术好吗？,418663720,1,,关于关节镜？
            儿子马上七个月了，防疫针就出生时打了乙肝，后来知道这个病，五个月时偶然发现以前打疫苗的地方里面有硬块，没变大，就是消不下去，不知道是不是机化了，现在是不是打防疫针前要先打因子呢，防疫针都是肌肉注射吗，小点的针头会不会好些,路在何方SC,6,,打防疫针前需要先打因子吗
            吧里有红安的病友没？,褪色69,0,,红安血友病
            这活性要打多少单位才能提升到30%啊！已经打了1200单位了😂😂😂,你还缺一次弥补,2,,进来看看
            最近孩子打因子效果差了许多，你们是怎么处理抗体的呢？,心中的纸风筝,18,,如何处理抗体
            上回我发个我儿子关于腿伸不直的贴子，在吧里好心人指点下我儿子连贴中药贴加上压腿的方法，我儿子的腿慢慢的快能伸直了。我非常高兴，可是十月一前一天好好的第二天膝盖里面有点疼又不能伸了不知道是什么原因，请吧里有经验的人告之，再次感谢。,风中的雨吻花,13,,又伸不直了里面疼是里面出血吗？
            ,等待相约在四季,31,,膝盖没有积液没有肿胀，走路有刺痛怎么办？
            我大舅血友病，摔到骨折，我们这儿买不到，就连合肥也只有几瓶！哪里能买到？求给联系！,earth云云众生,7,,血友病在哪里买凝血因子8？急求！！！！
            上次在佛山打绿十字100毫升的400多……这次想出南方医院打了！请问有人知道价格吗？,你还缺一次弥补,15,,有人在广州南方医院打过凝血因子吗？
            我是一名血友病乙型患者，每次出血都是去医院输血浆，去了很多医院都没有九因子，想问一下四川哪家医院有九因子啊？或者昆明也行，还有就是九因子有那些厂家啊？名字叫什么啊？谢谢大家。,L低头,15,,血友病九因子哪里可以买到？厂家名字跟九因子名字叫什么啊？
            血友病滑膜炎，前几天去医院检查了，滑膜炎，最厚处0.7cm.现在正在用活血化淤的药方外敷，已经1个月了，还是不能走路，关节腔里有积液，刚刚在贴吧看到可以吃美洛昔康，硫酸氨基葡萄糖钾片。这两种药可以吃吗？有知道的病友告诉我，谢谢。,无味余生,11,,血友病，滑膜炎
            对于我们这种体质，我168体重才90多斤瘦得像竹竿     友友有什么经验,真男人不打逛语,22,,增肥。
            40克装，75元人民币，有用过的帮确认一下，是这样的吗？,liangjz520,23,,港版喜疗妥
            说说我自己的一般出血处理办法。仅供参考啊。,耿卍立,30,,废话闲聊我的小经验
            我以前，右腿不小心意外摔伤，大腿骨裂纹，因为我是血友病患者，以前不敢动手术，就在当地医院固定保守治疗的，可是腿好后，能走路了，却发现由于由于几个月的牵引，膝盖却不能弯曲了，以前膝盖也肿过，现在消了。就是只能轻微的弯曲，15度左右，现在一年多了，有什么治疗办法吗？？？？,平凡余生,62,,膝关节基本不能弯曲，怎么办？？
            ,周福英1994,3,,同志们感冒发烧能输因子？
            请问云南目前上海莱士的代理商电话多少呢？以前一直跟昆明的代理商拿药，最近快没药了，联系到他叫我去云大医院问问，他自己不做这个了，有没有知道云南代理商的，谢谢了。,白帝乛,2,,请指教
            不知道可不可以在这儿打广告，我也是血友病甲，之前也是一病大半年，都在家无所事事。我知道血友病这种痛苦。现在我在家电脑面前每天也能稳定一百多收入。能说我就详细说一下。不能就当是个聊天贴吧。我也是想帮助下血友们,z583789112,66,,不知道血友们有工作吗？有没有稳定工作
            说说经过吧，最近孩子容易发病些身上有些淤血疙瘩，就想给喝中药调理，一早上去中医院挂了内（肝胆脾）科，医生把我推到一个儿科中医那里，毕竟孩子确实还小就去了，他还是市里面来的，之前那个老医生说他专业些，谁知去找他他毫不留情的说喝中药没有用，还说只能打因子，因子是从猪身上提取出来的（我天，感情那么贵的药和一头猪价钱差不多是有原因的？）打多了效果会变差？（各位大龄病友真是这样吗？）还说女孩一定不会有（那我们贴吧里的女生怎么回事？）后来我说给我开点中药他还说是心里安慰没用，我只好又找之前老中医，他不知是不敢乱开还是没有好方子也推诿，我说我这里之前有药房方喝着还可以，我说你照上面给我开吧，他才给我开，但是说他们医院没有白茅根（一种药材）我只好说那我去县医院抓药，我来县医院，人家中医医生就准备给我开方子，因为我之前方子孩子喝了好长时间想换下所以一开始并没提我这有药方，也因此看到了医生不同的观点，县医院医生还是认为这病属于肝，脾上的问题，也属于热症，这倒跟我之前了解的一样，就相信她给孩子配的药方，用段时间期待效果吧！可能很多病友也会说我求心理安慰，白花钱，但是效果自己知道，而且不想孩子老扎针，我愿意花这个钱！并不是说大家都要用中药，可能有人并没用，大伤还是去打因子吧，别耽误！,冰雨澄月,20,,今天去医院抓中药医生竟不给开
            他出生在一个贫寒的家庭里，面朝黄土背朝天的父母，无法为他提供优越的学习和生活条件。但是他非常懂事，从步入校门的那天起，从来没有跟父母主动要过一分钱。几年之后，成绩优异的他，考上了市里的一所高中，因为学校离家里较远，他只年选择住校。,向着太阳Q,10,,小故事
            在哪里买啊》kS,x3178523,3,,血友病  蒂康力线粒体素 有谁用过？ tm  急急急
            几年前我有了一个儿子，原本是个十分高兴的事，可是在他七个月大时却发现他患有血友病，8因子只有3.8%，于是就经常在网上查一些有关血友病的事，怎么治疗，怎么保健，但说实话，每个人的因子含量不同，经济条件、生活条件也不会相同，因此，这些都只能是个借鉴。但在网上搜，很多是一些不真实或者是假消息，还好找到了血友病吧，里面有不少血友病的真人真事，自己的一些感受，有些还把照片晒了出来，这些都让我学到了很多。,极亮世界4,52,,有过血友病孩子的想要二胎要做的检查
            有试过睾丸表皮出血的吗？,飞翔广东,8,,有试过睾丸表皮出血的吗？
            200cc多少钱，300cc多少钱？拿药好拿吗？你们拿药报销吗？,贴心玲子,21,,病友们你们拿药八因子多少钱？
            我想请问下，有哪位做过置换术吗？我也是血友病，关节变形  想做置换  医生说风险大   怕置换的材料和骨骼不能长合！和出血不止。,雕琢魅力,3,,血友病朋友们你们好！
            我是八零后。甲型重度血友病。,耿卍立,87,,我的血友生涯
            有没有病友在做手机维修工作，我学了一点点知识，现在纠结要不要继续学，如果继续学，有没有什么方法，不知道手机维修能不能挣钱。给点建议,htyykingg,22,,有没有病友在做手机维修？
            前段时间膝关节出血，最近打了因子，发现腿伸不值了用力申的话感觉关节下面筋疼，谁知道怎么回事,现代农村人ok,9,,求救
            求助辽宁葫芦岛，锦州附近哪里有卖八因子的，急需,刚博方儿,0,,求助，辽宁葫芦岛，锦州附近哪里有卖八因子的
            郑州人民医院有一个征集甲型血友病临床试验的事情，年龄6-56岁的甲型血友病，没有产生凝血因子抑制物的，没有过大脑内脏出血的都可以去，筛选成功之后，半年之内可以到郑州人民医院免费用药，每次报销路费200元，4800元封顶。我明天过去做抽血筛选呢，有人愿意去吗？有兴趣的留下地址和电话，我上报给医院，然后你们自己和医生沟通沟通，问问情况。我明天去做筛选呢。,taikonglaike,18,,郑州人民医院征集甲型血友病临床试验志愿者
            竹板这么一打,甄虬迷,12,,讽刘陕西
            各位吧友大家好，我是一名血友病携带者，我在今年七月份做了三代试管怀孕了，今天十周，但心里还有点嘀咕，害怕试管数据的不准确或者失误，到底要不要去瑞金做一个羊水穿刺确认下呢？就怕羊水穿刺有风险…请大家给我建议！谢谢！,双子苏苏0416,61,,做了三代试管还需要做羊水穿刺吗？
            儿子刚查出来缺因八，医院都说是现在买不到药，请问北京的病友都是在哪买啊，推荐国产还进口？什么牌子的？有什么要注意的么，请大家不吝赐教，拜谢,kevin707uk,13,,现在因八很难买么
            上次意外摔倒背部肌肉内出血，去医院输了九因子好多了，可是最近左半背部和腿都复发了，腿一点知觉都没有，背部肿的睡觉都不行！怎么办，现在不方便去医院！怎样缓解止痛？,不符合红,6,,大腿难受！
            小孩换牙，老是流血，除了打因子以外还可以用什么药可以快速止血呢,lmw201210,5,,换牙流血怎么办
            我关节伸不直，我们这里的医生说可以针灸弄直，但是要提前打上因子。 输因子可以针灸吗？我因子不到10只,黑色人生98,9,,每天输几只因子可以做针灸吗？
            一个月了 还不消肿   谁有经验  或者中药偏方打算用一下 ,蹇冨噳浜嗏湐,22,,求经验
            现在搜索血友病，刘陕西的大名和他的研究院又有很多条目。。。这是又要出来开张继续营业的节奏。。如果没有这个风波，看着网上说辞，刘专家真是治疗血友病的神医啊。。。,lgli7,6,,刘陕西
            到大学还只上了几天课，每天爬楼梯就肿成这样了，现在还有一点发热，只能弯曲90度左右，有没有好的方法让它快速消肿？？？急急急,HHalechan,30,,如何快速消肿？
            感觉好少,日向美女,5,,百因止的500单位只有5毫升的水吗
            大家都是买多少钱一瓶呢,从此一个人live,92,,八因子你们买都是多少钱啊？
            两者的九因子含量分别是多少？,BLackR0ck黑岩,10,,血友病乙是用华兰的凝血酶原复合物好还是泰邦的的好？
            偶然看到的文章，Vc可以降低血小板。。。所以不能吃太酸的水果。橘子，菠萝之类。我往往吃过就容易出事。可以通过多吃蔬菜来摄取Vc.Vc不足也不行，会得坏血病。,oyh2016,2,,不要吃维生素c含量较高的水果。例如菠萝之类
            上次意外摔倒背部肌肉内出血，去医院输了九因子好多了，可是最近左半背部和腿都复发了，腿一点知觉都没有，背部肿的睡觉都不行！怎么办，现在不方便去医院！怎样缓解止痛？,不符合红,12,,帮帮我
            血又病甲有没有奇迹出现呢？,yangdajuan520,6,,血又病甲有没有奇迹出现呢？
            当初“血友病吧”被卖的时候，我就想过退缩，因为我们这种人太经不起折腾了。是小白急切的电话打动了我，不是血友病患者却比我这个血友病患者更爱我们“血友病吧”，我又有什么理由不站出来呢？,蚂蚁菜,809,,被刘陕西告了，怎么打这个官司？
            请问大家，我第一次打因子，冲管是怎么，我不大理解。难道是先把因子推注完，然后抽葡萄糖推注嘛？,Youni子益,4,,打因子冲管
            用治疗滑膜炎的药方需要打成粉吗？对滑膜增后有效果吗？,无味余生,10,,关节积液，滑膜增后。
            宝宝已经十七个月了，健健康康，现在想来这是上天对我的恩赐， 我愿意把我那段提心掉胆的日子和大家分享， 祝愿大家以后都能有个健康的宝宝。,lucyzhuok1,107,,有血友病家族史的，想做妈妈的，为了孩子，做好产前诊断，，
            我今年21基本跟正常人一样 很少出血,你好像很迷人,8,,假性血友病能拔罐吗
            接种疫苗后再输注因子会不会有产生因子抑制物的风险？,杯具洗洗好,2,,我今天打乙肝疫苗后又输注因子了，请问会不会有问题？
            ,小小酥的酥,45,,自己买了药，医院不住院不给输，没带病例诊所也不给输，问下该怎么
            刚才看了一些病友的证词，讲述他们在老刘处上当受骗的经历。,蚂蚁菜,27,,心情沉重
            去年用因子多些，相对的，有问题就用，大概半月到1月用一次200单位，体重100斤，休息一天就没事，发现，有点依赖，不管是心理还是身体，今年，抗过2次之后，现在2月一次，小问题没用，比如现在的肋骨肿了，还在外面跑了一上午。躺着能入睡，就是压着有点疼。没用因子，我也看过有关抗体的知识，说大剂量容易引起抗体，小剂量平时打下还能减少抗体。但自己还是尽量少用因子，一是购买麻烦，二是怕因子抗体。不知道我这种担心是否有必要，血友有这方面的专业知识吗？,鯨魚愛麗絲,12,,关于抗体，谁来普及一下知识
            ,阔爱小橙子冫,1,,我小成子回来咯。。。
            咱这里有做淘宝的吗？我是做淘宝的，最近老是熬夜，腿就都肿了，我们这个病是不是不能熬夜啊？,人在梯子上9,19,,咱这里有做淘宝的吗？我是做淘宝
            申请慢性病批准要多久       血友病的,大千世界无qby,11,,慢性病
            本人由于伤口流致贫血十分严重，(一克多点)致人快不行的时候前往市里三甲医院(也是血友救治定点医院)进行医冶，由于考虑到新农合报销的问题，想住院治疗，可急诊科给内科血液科打电话均以没床为由拒收我住院，难道一句沒床位就可以不救冶病人了吗？为了不耽误病情没过多与他们理论只好去别的医院，但感觉太不合理了。传化验单怎么上传了呢？,hiabt,4,,没有床位能成为拒绝救治病人(血友病人)的理由吗？我们的生命健
            2岁多孩子，小腿肌肉肿胀，早上起床时候特别痛，下午走多了就可以跑，不知道是不是肌肉出血呢？还是撞到了？但是又没有看到淤青。,windy新新123,3,,求助
            之所以来到这个贴吧，是因为今天来了一个农妇和一个少年，要复印病历，办残疾证，从他和主任聊天的过程知道了他14岁的外孙是血友病，主任说这种病多来自近亲结婚且传男不传女。所以我好奇的百科了一下，就发现这个贴吧，他们刚进来的时候我还随意的问了一句，你没上学，孩子痛快的回答：我不在这上学，紧接着他她姥姥就说了一句，他有病不能上学，少年闭上了嘴巴，不知声啦，随后的沟通了解到农妇右臂不好使，要办残疾证，还和主任哭诉了他家的悲惨经历，少年在身后一直把两手放在上衣口袋里不停的摩擦，我想他是因为姥姥随便和人提起这些事情感到自卑吧，不喜欢别人讨论这个问题吧。虽然知道没几个人会看到这篇贴子，也知道看了也改变不了什么，但是让我不知所措感觉应该做点什么，写几个文字吧。,俊俊150斤胖妈,12,,一个少年的虚荣
            找找附近的血友,美丽的归流河,6,,有兴安盟附近的血友吗？
            ,现代农村人ok,21,,高消费走起(⊙o⊙)
            ,无奈ii123,74,,只想说我们也可以和正常人一样！
            怎么分辨血友宝宝是皮下出血还是肌肉出血，因为宝宝才一岁，不会描述，大人只看到乌青块，摸起来里面有血肿，皮肤表面发烫。哪位吧友给我科普一下吧，身上有四五处出血，妈妈心如刀割。,羊羊羊95939,18,,怎么分辨血友病宝宝是皮下出血还是肌肉出血
            谁知道有什么办法可以入职工医保,现代农村人ok,16,,都来看看
            下地就痛，按压半月板也痛。,墨子斌,12,,膝关节
            我是甲型血友病，就是四年前，大概喝了六罐啤酒，一包烟，导致脑组织出血，几乎没有命，两次病危通知，最后倾家荡产才活过来，我大概是中重度的患者，告诫大家千万不要喝酒抽烟！！！,oyh2016,18,,警戒大家，绝不可以喝酒，抽烟。自己血的教训
            ,yyl200088,4,,如何才能准确的判断孩子是否关节出血？
            ,Tudumamaaini,2,,我的宝宝十个月大，刚才吃东西不小心把上鳄划破了，现在是血流不止
            孩子十九个月，以后成长只要用上八因子，能排除一些出血嘛，控制蔓延,可爱萌龙,20,,血友病8重型，十九个月按时用八因子能防止关节变形什么的嘛
            昨天抽血抽脚踝处，压了好久才不出血，会来没多久就肿了，今天看整个脚踝都发青，现在还用打因子吗,路在何方SC,8,,昨天抽血抽脚踝处，压了好久才不
            ,ldhvhj,23,,感冒了，一天能流5次鼻血，倒霉倒霉
            如题，求告知！越具体越好,丶爱极限,17,,姐姐怀孕了，有携带，想知道怀孕几个月可以查基因是否携带
            ,梦不再伤悲,17,,各位，我想知道血友病儿童做飞机有什么影响
            (1)明知血友却关起医办室的门殴打一血友残疾患者猪狗不如。,hiabt,49,,让我们都来认清这副人面兽心没有半点人性的大夫是怎么折磨同胞的
            各位这个病在你们那可以办残疾证不,大千世界无qby,12,,残疾证
            昨天去医院做了彩超，作了X线检查。,无味余生,0,,血友病性关节炎
            ,激情燃烧殆尽,11,,未来关节疾病患者的希望
            就是这个药你们知道吗？我们这个医院他们说是他们自己研发的……外面没卖的……,qq5115128,20,,这个药你们吃过吗？
            大家好，我的膝关节从出血到现在十天了，已经不疼了。而且有明显消肿迹象，现在正在喝中药，抹红花油，是否应该下床运动，不确定伤口是否完全愈合，现在膝关节只能抻着 不能蜷缩，还没完全消肿.,oyh2016,3,,腿部大概已经止血，但是不能蜷缩，只能抻着运动还是静养
            八因子缺乏，左上最后一颗智齿烂了一个洞，不痛，最近老是出血，口腔一直血腥味，自己也输了几瓶八因子，但总出血，去看牙科，医生不敢弄推脱让去看血内，好说歹说，用一种临时材料补住，不出血了，但是管不了几天，材料掉了，又有点出血，牙科不愿意帮我补了，说临时治标不治本，又推脱我去看血内科！怎么办啊？,热闹不归我,2,,智齿虫牙，老是出血怎么办？
            泰邦和绿十字哪个效果好？,y孤星赶月,11,,泰邦和绿十字哪个效果好？
            这到底是怎么了？？都二个月了，还没好…真心苦逼，这日子…！,vkomm,30,,快二个月了
            每次出血的时候我都是一天输一支200单位的，三四天就好了。想问一下如果一次性输三四支进去，是不是第二天就能好呀？,y孤星赶月,6,,药量问题
            有知道这一方面的病友帮帮我看看，该怎样治疗。关节今天22天了，还是不能走，这几天在用中药热敷，如果做滑膜切除可以吗,无味余生,3,,血友病性关节炎
            是什么原因呢？烦死了，我总是料到是血友病发病了，突然就下床走不了，能站立，走就无力，一拐一拐的，跪下来也痛，膝盖前2个月碰到了，肌肉拉伤好了，但是淤青未散，前几天后腰部淤青厉害没血肿，那请问是不是什么关节出血呢？第一次孩子出现这情况，真不知道怎么办，打电话去和医院，连客服都不知道，挂什么科。求助啊求助。,windy新新123,9,,我家孩子今早上突然下床腿软了走不了
            大家好，最近牙龈又出血了，大家有什么好的办法，已经输了3瓶因子，但是第二天又开始出血。有没有什么外用的药，谢谢。,无味余生,10,,血友病牙龈出血
            我是一个21岁的大专毕业生，今年7月份才毕业，说实话，对未来很迷茫，工作没有着落，身体也残了，整天混吃等死在家里，胖的150了，现在很容易出血。,外表平凡的不凡,52,,胯疼一个星期了
            小孩两岁半，在做预防治疗。一星期三针。现在打针的话，血管都很难找。回血很慢。医生建议用滞留针。这么小，小孩子又爱动。怎么办呢？,金老1,14,,无奈
